stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
719,50712.0,Westbound E 41 Ave @ St. George St,,49.233046,-123.094859,BUS ZN,,0,,1,8728de8d5ffffff,8828de8d59fffff,8928de8d59bffff,8a28de8d59affff
7192,57122.0,Southbound 198 St @ 24 Ave,,49.044614,-122.674967,BUS ZN,,0,,1,8728d16deffffff,8828d16de5fffff,8928d16de53ffff,8a28d16de517fff
7195,57125.0,Northbound 200 St @ 24 Ave,,49.046711,-122.669285,BUS ZN,,0,,1,8728ded2dffffff,8828ded2d9fffff,8928ded2d97ffff,8a28ded2d967fff
7196,57126.0,Northbound 200 St @ 28 Ave,,49.053115,-122.66937,BUS ZN,,0,,1,8728ded2dffffff,8828ded2dbfffff,8928ded2dbbffff,8a28ded2db87fff
7197,57127.0,Northbound 200 St @ 30 Ave,,49.057724,-122.669417,BUS ZN,,0,,1,8728ded2dffffff,8828ded2d3fffff,8928ded2d33ffff,8a28ded2d337fff
7198,57128.0,Northbound 200 St @ 32 Ave,,49.060741,-122.66942,BUS ZN,,0,,1,8728ded2dffffff,8828ded2d3fffff,8928ded2d23ffff,8a28ded2d237fff
7199,57129.0,Northbound 200 St @ 33A Ave,,49.063088,-122.669435,BUS ZN,,0,,1,8728ded2dffffff,8828ded2d3fffff,8928ded2d2fffff,8a28ded2d2f7fff
72,50072.0,Eastbound Cornwall Ave @ Cypress St,,49.272368,-123.14734,BUS ZN,,0,,1,8728de8ddffffff,8828de8dddfffff,8928de8ddc7ffff,8a28de8ddc5ffff
720,50713.0,Westbound E 41 Ave @ Prince Edward St,,49.233094,-123.097712,BUS ZN,,0,,1,8728de8d5ffffff,8828de8d59fffff,8928de8d583ffff,8a28de8d5827fff
7200,57130.0,Eastbound 36 Ave @ 200 St,,49.067331,-122.668998,BUS ZN,,0,,1,8728ded29ffffff,8828ded299fffff,8928ded2997ffff,8a28ded29957fff
7201,57131.0,Eastbound 36 Ave @ 203 St,,49.067345,-122.661661,BUS ZN,,0,,1,8728ded29ffffff,8828ded299fffff,8928ded299bffff,8a28ded299b7fff
